#測定日時 : 2021/01/07 15:59:19
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 61.6
#偏光角角度 [deg] : 90
#開放端電圧 [V] : 4.759959141981622
#コンダクタンス [S] : 1.919607843137255E-012
#短絡電流 [A] : -9.137254901960801E-012
#電力(Voc*Isc) : 4.349296000320471E-011
#[DATA]V,I
0,-8E-012
-200,-3.89E-010
-180,-3.52E-010
-160,-3.14E-010
-140,-2.77E-010
-120,-2.38E-010
-100,-2.01E-010
-80,-1.62E-010
-60,-1.25E-010
-40,-8.6E-011
-20,-4.8E-011
0,-9E-012
20,2.8E-011
40,6.7E-011
60,1.06E-010
80,1.44E-010
100,1.82E-010
120,2.22E-010
140,2.59E-010
160,2.98E-010
180,3.37E-010
200,3.76E-010
