#測定日時 : 2021/01/07 15:57:20
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 39.1
#偏光角角度 [deg] : 45
#開放端電圧 [V] : -102.6080363912054
#コンダクタンス [S] : 1.884285714285715E-012
#短絡電流 [A] : 1.933428571428571E-010
#電力(Voc*Isc) : 1.983853092169392E-008
#[DATA]V,I
0,1.94E-010
-200,-1.81E-010
-180,-1.42E-010
-160,-1.05E-010
-140,-6.7E-011
-120,-3.1E-011
-100,7E-012
-80,4.3E-011
-60,7.700000000000001E-011
-40,1.21E-010
-20,1.55E-010
0,1.94E-010
20,2.31E-010
40,2.69E-010
60,3.06E-010
80,3.44E-010
100,3.83E-010
120,4.19E-010
140,4.57E-010
160,4.950000000000001E-010
180,5.31E-010
200,5.71E-010
