#測定日時 : 2021/01/07 16:02:26
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 95.34999999999999
#偏光角角度 [deg] : 157.5
#開放端電圧 [V] : 57.54704737183648
#コンダクタンス [S] : 1.699632352941177E-012
#短絡電流 [A] : -9.780882352941178E-011
#電力(Voc*Isc) : 5.628609001030654E-009
#[DATA]V,I
0,-9.5E-011
-200,-4.32E-010
-180,-4E-010
-160,-3.67E-010
-140,-3.34E-010
-120,-3.01E-010
-100,-2.67E-010
-80,-2.34E-010
-60,-2E-010
-40,-1.66E-010
-20,-1.32E-010
0,-9.8E-011
20,-6.4E-011
40,-3E-011
60,3E-012
80,3.8E-011
100,7.2E-011
120,1.06E-010
140,1.4E-010
160,1.75E-010
180,2.09E-010
200,2.42E-010
