#測定日時 : 2021/01/07 15:58:20
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 50.35
#偏光角角度 [deg] : 67.5
#開放端電圧 [V] : -65.80229311471508
#コンダクタンス [S] : 1.961888111888113E-012
#短絡電流 [A] : 1.290967365967365E-010
#電力(Voc*Isc) : 8.494861301691622E-009
#[DATA]V,I
0,1.3E-010
-200,-2.57E-010
-180,-2.18E-010
-160,-1.8E-010
-140,-1.42E-010
-120,-1.05E-010
-100,-6.600000000000001E-011
-80,-2.6E-011
-60,1.2E-011
-40,5.1E-011
-20,9E-011
0,1.3E-010
20,1.68E-010
40,2.07E-010
60,2.47E-010
80,2.86E-010
100,3.24E-010
120,3.65E-010
140,4.04E-010
160,4.43E-010
180,4.82E-010
200,5.22E-010
