#測定日時 : 2021/01/07 15:55:14
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 16.6
#偏光角角度 [deg] : 0
#開放端電圧 [V] : -7.345536781020649
#コンダクタンス [S] : 2.029090909090909E-012
#短絡電流 [A] : 1.49047619047619E-011
#電力(Voc*Isc) : 1.094834767837839E-010
#[DATA]V,I
0,1.4E-011
-200,-3.89E-010
-180,-3.48E-010
-160,-3.08E-010
-140,-2.69E-010
-120,-2.28E-010
-100,-1.89E-010
-80,-1.49E-010
-60,-1.08E-010
-40,-6.7E-011
-20,-2.7E-011
0,1.3E-011
20,5.4E-011
40,9.4E-011
60,1.36E-010
80,1.77E-010
100,2.18E-010
120,2.58E-010
140,2.99E-010
160,3.41E-010
180,3.82E-010
200,4.23E-010
